Nombre de la carpeta,Instrument,Stem,Posible archivo stem
AimeeNorwich_Flying,fx/processed sound,S08,AimeeNorwich_Flying_STEM_08.wav
AimeeNorwich_Flying,piano,S09,AimeeNorwich_Flying_STEM_09.wav
AimeeNorwich_Flying,cello,S10,AimeeNorwich_Flying_STEM_10.wav
AimeeNorwich_Flying,cello,S11,AimeeNorwich_Flying_STEM_11.wav
AimeeNorwich_Flying,fx/processed sound,S12,AimeeNorwich_Flying_STEM_12.wav
AimeeNorwich_Flying,trombone,S13,AimeeNorwich_Flying_STEM_13.wav
AimeeNorwich_Flying,trombone,S14,AimeeNorwich_Flying_STEM_14.wav
AimeeNorwich_Flying,clarinet,S15,AimeeNorwich_Flying_STEM_15.wav
AlanisMorissette_YouOughtaKnow,drum set,S01,AlanisMorissette_YouOughtaKnow_STEM_01.wav
AlanisMorissette_YouOughtaKnow,electric bass,S02,AlanisMorissette_YouOughtaKnow_STEM_02.wav
AlanisMorissette_YouOughtaKnow,"['clean electric guitar', 'distorted electric guitar']",S03,AlanisMorissette_YouOughtaKnow_STEM_03.wav
AlanisMorissette_YouOughtaKnow,female singer,S04,AlanisMorissette_YouOughtaKnow_STEM_04.wav
AlanisMorissette_YouOughtaKnow,"['high hat', 'fx/processed sound', 'distorted electric guitar']",S05,AlanisMorissette_YouOughtaKnow_STEM_05.wav
AlexanderRoss_GoodbyeBolero,acoustic guitar,S01,AlexanderRoss_GoodbyeBolero_STEM_01.wav
AlexanderRoss_GoodbyeBolero,clean electric guitar,S02,AlexanderRoss_GoodbyeBolero_STEM_02.wav
AlexanderRoss_GoodbyeBolero,clean electric guitar,S03,AlexanderRoss_GoodbyeBolero_STEM_03.wav
AlexanderRoss_GoodbyeBolero,electric bass,S04,AlexanderRoss_GoodbyeBolero_STEM_04.wav
AlexanderRoss_GoodbyeBolero,drum set,S05,AlexanderRoss_GoodbyeBolero_STEM_05.wav
AlexanderRoss_GoodbyeBolero,male singer,S06,AlexanderRoss_GoodbyeBolero_STEM_06.wav
AlexanderRoss_GoodbyeBolero,brass section,S07,AlexanderRoss_GoodbyeBolero_STEM_07.wav
AlexanderRoss_GoodbyeBolero,viola section,S08,AlexanderRoss_GoodbyeBolero_STEM_08.wav
AlexanderRoss_GoodbyeBolero,harmonica,S09,AlexanderRoss_GoodbyeBolero_STEM_09.wav
AlexanderRoss_VelvetCurtain,acoustic guitar,S01,AlexanderRoss_VelvetCurtain_STEM_01.wav
AlexanderRoss_VelvetCurtain,clean electric guitar,S02,AlexanderRoss_VelvetCurtain_STEM_02.wav
AlexanderRoss_VelvetCurtain,clean electric guitar,S03,AlexanderRoss_VelvetCurtain_STEM_03.wav
AlexanderRoss_VelvetCurtain,electric bass,S04,AlexanderRoss_VelvetCurtain_STEM_04.wav
AlexanderRoss_VelvetCurtain,drum set,S05,AlexanderRoss_VelvetCurtain_STEM_05.wav
AlexanderRoss_VelvetCurtain,male singer,S06,AlexanderRoss_VelvetCurtain_STEM_06.wav
AlexanderRoss_VelvetCurtain,brass section,S07,AlexanderRoss_VelvetCurtain_STEM_07.wav
AlexanderRoss_VelvetCurtain,string section,S08,AlexanderRoss_VelvetCurtain_STEM_08.wav
AlexanderRoss_VelvetCurtain,vocalists,S09,AlexanderRoss_VelvetCurtain_STEM_09.wav
AlexanderRoss_VelvetCurtain,clean electric guitar,S10,AlexanderRoss_VelvetCurtain_STEM_10.wav
Allegria_MendelssohnMovement1,cello,S01,Allegria_MendelssohnMovement1_STEM_01.wav
Allegria_MendelssohnMovement1,violin,S02,Allegria_MendelssohnMovement1_STEM_02.wav
Allegria_MendelssohnMovement1,violin,S03,Allegria_MendelssohnMovement1_STEM_03.wav
Allegria_MendelssohnMovement1,viola,S04,Allegria_MendelssohnMovement1_STEM_04.wav
Allegria_MendelssohnMovement1,Main System,S05,Allegria_MendelssohnMovement1_STEM_05.wav
AllThatRemains_Chiron,drum set,S01,AllThatRemains_Chiron_STEM_01.wav
AllThatRemains_Chiron,electric bass,S02,AllThatRemains_Chiron_STEM_02.wav
AllThatRemains_Chiron,distorted electric guitar,S03,AllThatRemains_Chiron_STEM_03.wav
AllThatRemains_Chiron,"['male singer', 'male screamer']",S04,AllThatRemains_Chiron_STEM_04.wav
AllThatRemains_Chiron,"['high hat', 'distorted electric guitar', 'acoustic guitar']",S05,AllThatRemains_Chiron_STEM_05.wav
AmadeusRedux_MozartAllegro,cello,S01,AmadeusRedux_MozartAllegro_STEM_01.wav
AmadeusRedux_MozartAllegro,violin,S02,AmadeusRedux_MozartAllegro_STEM_02.wav
AmadeusRedux_MozartAllegro,viola,S03,AmadeusRedux_MozartAllegro_STEM_03.wav
AmadeusRedux_MozartAllegro,Main System,S04,AmadeusRedux_MozartAllegro_STEM_04.wav
AmadeusRedux_SchubertMovement2,cello,S01,AmadeusRedux_SchubertMovement2_STEM_01.wav
AmadeusRedux_SchubertMovement2,violin,S02,AmadeusRedux_SchubertMovement2_STEM_02.wav
AmadeusRedux_SchubertMovement2,viola,S03,AmadeusRedux_SchubertMovement2_STEM_03.wav
AmadeusRedux_SchubertMovement2,Main System,S04,AmadeusRedux_SchubertMovement2_STEM_04.wav
AmadeusRedux_SchubertMovement3,cello,S01,AmadeusRedux_SchubertMovement3_STEM_01.wav
AmadeusRedux_SchubertMovement3,violin,S02,AmadeusRedux_SchubertMovement3_STEM_02.wav
AmadeusRedux_SchubertMovement3,viola,S03,AmadeusRedux_SchubertMovement3_STEM_03.wav
AmadeusRedux_SchubertMovement3,Main System,S04,AmadeusRedux_SchubertMovement3_STEM_04.wav
AmarLal_Rest,clean electric guitar,S01,AmarLal_Rest_STEM_01.wav
AmarLal_Rest,fx/processed sound,S02,AmarLal_Rest_STEM_02.wav
AmarLal_SpringDay1,acoustic guitar,S01,AmarLal_SpringDay1_STEM_01.wav
Anberlin_TheFeelGoodDrag,drum set,S01,Anberlin_TheFeelGoodDrag_STEM_01.wav
Anberlin_TheFeelGoodDrag,electric bass,S02,Anberlin_TheFeelGoodDrag_STEM_02.wav
Anberlin_TheFeelGoodDrag,distorted electric guitar,S03,Anberlin_TheFeelGoodDrag_STEM_03.wav
Anberlin_TheFeelGoodDrag,"['male singer', 'synthesizer', 'vocalists', 'distorted electric guitar', 'tambourine']",S04,Anberlin_TheFeelGoodDrag_STEM_04.wav
AnEndlessSporadic_Anything,drum set,S01,AnEndlessSporadic_Anything_STEM_01.wav
AnEndlessSporadic_Anything,electric bass,S02,AnEndlessSporadic_Anything_STEM_02.wav
AnEndlessSporadic_Anything,distorted electric guitar,S03,AnEndlessSporadic_Anything_STEM_03.wav
AnEndlessSporadic_Anything,"['synthesizer', 'distorted electric guitar', 'shaker', 'fx/processed sound', 'auxiliary percussion']",S04,AnEndlessSporadic_Anything_STEM_04.wav
ArcadeFire_BlackMirror,"['fx/processed sound', 'vocalists', 'female singer']",S01,ArcadeFire_BlackMirror_STEM_01.wav
ArcadeFire_BlackMirror,"['acoustic guitar', 'clean electric guitar', 'piano']",S02,ArcadeFire_BlackMirror_STEM_02.wav
ArcadeFire_BlackMirror,drum set,S03,ArcadeFire_BlackMirror_STEM_03.wav
ArcadeFire_BlackMirror,electric bass,S04,ArcadeFire_BlackMirror_STEM_04.wav
ArcadeFire_BlackMirror,"['string section', 'woodwind section', 'harp']",S05,ArcadeFire_BlackMirror_STEM_05.wav
ArcadeFire_BlackMirror,male singer,S06,ArcadeFire_BlackMirror_STEM_06.wav
ArcadeFire_BlackMirror,"['piano', 'acoustic guitar']",S07,ArcadeFire_BlackMirror_STEM_07.wav
ArcticMonkeys_Brainstorm,drum set,S01,ArcticMonkeys_Brainstorm_STEM_01.wav
ArcticMonkeys_Brainstorm,distorted electric guitar,S02,ArcticMonkeys_Brainstorm_STEM_02.wav
ArcticMonkeys_Brainstorm,electric bass,S03,ArcticMonkeys_Brainstorm_STEM_03.wav
ArcticMonkeys_Brainstorm,"['male singer', 'tambourine', 'distorted electric guitar', 'vocalists']",S04,ArcticMonkeys_Brainstorm_STEM_04.wav
Auctioneer_OurFutureFaces,banjo,S01,Auctioneer_OurFutureFaces_STEM_01.wav
Auctioneer_OurFutureFaces,electric bass,S02,Auctioneer_OurFutureFaces_STEM_02.wav
Auctioneer_OurFutureFaces,vocalists,S03,Auctioneer_OurFutureFaces_STEM_03.wav
Auctioneer_OurFutureFaces,drum set,S04,Auctioneer_OurFutureFaces_STEM_04.wav
Auctioneer_OurFutureFaces,clean electric guitar,S05,Auctioneer_OurFutureFaces_STEM_05.wav
Auctioneer_OurFutureFaces,horn section,S06,Auctioneer_OurFutureFaces_STEM_06.wav
Auctioneer_OurFutureFaces,vibraphone,S07,Auctioneer_OurFutureFaces_STEM_07.wav
Auctioneer_OurFutureFaces,male singer,S08,Auctioneer_OurFutureFaces_STEM_08.wav
Auctioneer_OurFutureFaces,auxiliary percussion,S09,Auctioneer_OurFutureFaces_STEM_09.wav
Auctioneer_OurFutureFaces,piano,S10,Auctioneer_OurFutureFaces_STEM_10.wav
AvaLuna_Waterduct,electric bass,S01,AvaLuna_Waterduct_STEM_01.wav
AvaLuna_Waterduct,synthesizer,S02,AvaLuna_Waterduct_STEM_02.wav
AvaLuna_Waterduct,vocalists,S03,AvaLuna_Waterduct_STEM_03.wav
AvaLuna_Waterduct,drum set,S04,AvaLuna_Waterduct_STEM_04.wav
AvaLuna_Waterduct,distorted electric guitar,S05,AvaLuna_Waterduct_STEM_05.wav
AvaLuna_Waterduct,fx/processed sound,S06,AvaLuna_Waterduct_STEM_06.wav
AvaLuna_Waterduct,vibraphone,S07,AvaLuna_Waterduct_STEM_07.wav
AvaLuna_Waterduct,male singer,S08,AvaLuna_Waterduct_STEM_08.wav
Bach10_01AchGottundHerr,bassoon,S01,Bach10_01AchGottundHerr_STEM_01.wav
Bach10_01AchGottundHerr,tenor saxophone,S02,Bach10_01AchGottundHerr_STEM_02.wav
Bach10_01AchGottundHerr,clarinet,S03,Bach10_01AchGottundHerr_STEM_03.wav
Bach10_01AchGottundHerr,violin,S04,Bach10_01AchGottundHerr_STEM_04.wav
Bach10_02AchLiebenChristen,bassoon,S01,Bach10_02AchLiebenChristen_STEM_01.wav
Bach10_02AchLiebenChristen,tenor saxophone,S02,Bach10_02AchLiebenChristen_STEM_02.wav
Bach10_02AchLiebenChristen,clarinet,S03,Bach10_02AchLiebenChristen_STEM_03.wav
Bach10_02AchLiebenChristen,violin,S04,Bach10_02AchLiebenChristen_STEM_04.wav
Bach10_03ChristederdubistTagundLicht,bassoon,S01,Bach10_03ChristederdubistTagundLicht_STEM_01.wav
Bach10_03ChristederdubistTagundLicht,tenor saxophone,S02,Bach10_03ChristederdubistTagundLicht_STEM_02.wav
Bach10_03ChristederdubistTagundLicht,clarinet,S03,Bach10_03ChristederdubistTagundLicht_STEM_03.wav
Bach10_03ChristederdubistTagundLicht,violin,S04,Bach10_03ChristederdubistTagundLicht_STEM_04.wav
Bach10_04ChristeDuBeistand,bassoon,S01,Bach10_04ChristeDuBeistand_STEM_01.wav
Bach10_04ChristeDuBeistand,tenor saxophone,S02,Bach10_04ChristeDuBeistand_STEM_02.wav
Bach10_04ChristeDuBeistand,clarinet,S03,Bach10_04ChristeDuBeistand_STEM_03.wav
Bach10_04ChristeDuBeistand,violin,S04,Bach10_04ChristeDuBeistand_STEM_04.wav
Bach10_05DieNacht,bassoon,S01,Bach10_05DieNacht_STEM_01.wav
Bach10_05DieNacht,tenor saxophone,S02,Bach10_05DieNacht_STEM_02.wav
Bach10_05DieNacht,clarinet,S03,Bach10_05DieNacht_STEM_03.wav
Bach10_05DieNacht,violin,S04,Bach10_05DieNacht_STEM_04.wav
Bach10_06DieSonne,bassoon,S01,Bach10_06DieSonne_STEM_01.wav
Bach10_06DieSonne,tenor saxophone,S02,Bach10_06DieSonne_STEM_02.wav
Bach10_06DieSonne,clarinet,S03,Bach10_06DieSonne_STEM_03.wav
Bach10_06DieSonne,violin,S04,Bach10_06DieSonne_STEM_04.wav
Bach10_07HerrGott,bassoon,S01,Bach10_07HerrGott_STEM_01.wav
Bach10_07HerrGott,tenor saxophone,S02,Bach10_07HerrGott_STEM_02.wav
Bach10_07HerrGott,clarinet,S03,Bach10_07HerrGott_STEM_03.wav
Bach10_07HerrGott,violin,S04,Bach10_07HerrGott_STEM_04.wav
Bach10_08FuerDeinenThron,bassoon,S01,Bach10_08FuerDeinenThron_STEM_01.wav
Bach10_08FuerDeinenThron,tenor saxophone,S02,Bach10_08FuerDeinenThron_STEM_02.wav
Bach10_08FuerDeinenThron,clarinet,S03,Bach10_08FuerDeinenThron_STEM_03.wav
Bach10_08FuerDeinenThron,violin,S04,Bach10_08FuerDeinenThron_STEM_04.wav
Bach10_09Jesus,bassoon,S01,Bach10_09Jesus_STEM_01.wav
Bach10_09Jesus,tenor saxophone,S02,Bach10_09Jesus_STEM_02.wav
Bach10_09Jesus,clarinet,S03,Bach10_09Jesus_STEM_03.wav
Bach10_09Jesus,violin,S04,Bach10_09Jesus_STEM_04.wav
Bach10_10NunBitten,bassoon,S01,Bach10_10NunBitten_STEM_01.wav
Bach10_10NunBitten,tenor saxophone,S02,Bach10_10NunBitten_STEM_02.wav
Bach10_10NunBitten,clarinet,S03,Bach10_10NunBitten_STEM_03.wav
Bach10_10NunBitten,violin,S04,Bach10_10NunBitten_STEM_04.wav
BarefootSisters_RedJetta,vocalists,S01,BarefootSisters_RedJetta_STEM_01.wav
BarefootSisters_RedJetta,acoustic guitar,S02,BarefootSisters_RedJetta_STEM_02.wav
BarefootSisters_RedJetta,piano,S03,BarefootSisters_RedJetta_STEM_03.wav
BarefootSisters_RedJetta,drum set,S04,BarefootSisters_RedJetta_STEM_04.wav
BigTroubles_Phantom,electric bass,S01,BigTroubles_Phantom_STEM_01.wav
BigTroubles_Phantom,drum set,S02,BigTroubles_Phantom_STEM_02.wav
BigTroubles_Phantom,distorted electric guitar,S03,BigTroubles_Phantom_STEM_03.wav
BigTroubles_Phantom,male singer,S04,BigTroubles_Phantom_STEM_04.wav
BigTroubles_Phantom,distorted electric guitar,S05,BigTroubles_Phantom_STEM_05.wav
BigTroubles_Phantom,male singer,S06,BigTroubles_Phantom_STEM_06.wav
BigTroubles_Phantom,distorted electric guitar,S07,BigTroubles_Phantom_STEM_07.wav
BillyIdol_WhiteWedding,drum set,S01,BillyIdol_WhiteWedding_STEM_01.wav
BillyIdol_WhiteWedding,electric bass,S02,BillyIdol_WhiteWedding_STEM_02.wav
BillyIdol_WhiteWedding,"['distorted electric guitar', 'clean electric guitar']",S03,BillyIdol_WhiteWedding_STEM_03.wav
BillyIdol_WhiteWedding,"['male singer', 'vocalists']",S04,BillyIdol_WhiteWedding_STEM_04.wav
BillyIdol_WhiteWedding,"['clean electric guitar', 'distorted electric guitar', 'choir', 'synthesizer']",S05,BillyIdol_WhiteWedding_STEM_05.wav
BillySquier_TheStroke,drum set,S01,BillySquier_TheStroke_STEM_01.wav
BillySquier_TheStroke,distorted electric guitar,S02,BillySquier_TheStroke_STEM_02.wav
BillySquier_TheStroke,electric bass,S03,BillySquier_TheStroke_STEM_03.wav
BillySquier_TheStroke,"['male singer', 'vocalists']",S04,BillySquier_TheStroke_STEM_04.wav
BillySquier_TheStroke,fx/processed sound,S05,BillySquier_TheStroke_STEM_05.wav
BlackEyedPeas_IGottaFeeling,violin section,S01,BlackEyedPeas_IGottaFeeling_STEM_01.wav
BlackEyedPeas_IGottaFeeling,synthesizer,S02,BlackEyedPeas_IGottaFeeling_STEM_02.wav
BlackEyedPeas_IGottaFeeling,clean electric guitar,S03,BlackEyedPeas_IGottaFeeling_STEM_03.wav
BlackEyedPeas_IGottaFeeling,drum machine,S04,BlackEyedPeas_IGottaFeeling_STEM_04.wav
BlackEyedPeas_IGottaFeeling,synthesizer,S05,BlackEyedPeas_IGottaFeeling_STEM_05.wav
BlackEyedPeas_IGottaFeeling,kick drum,S06,BlackEyedPeas_IGottaFeeling_STEM_06.wav
BlackEyedPeas_IGottaFeeling,violin section,S07,BlackEyedPeas_IGottaFeeling_STEM_07.wav
BlackEyedPeas_IGottaFeeling,synthesizer,S08,BlackEyedPeas_IGottaFeeling_STEM_08.wav
BlackEyedPeas_IGottaFeeling,snare drum,S09,BlackEyedPeas_IGottaFeeling_STEM_09.wav
BlackEyedPeas_IGottaFeeling,vocalists,S10,BlackEyedPeas_IGottaFeeling_STEM_10.wav
BlackEyedPeas_IGottaFeeling,synthesizer,S11,BlackEyedPeas_IGottaFeeling_STEM_11.wav
BlackEyedPeas_IGottaFeeling,violin section,S12,BlackEyedPeas_IGottaFeeling_STEM_12.wav
BlackEyedPeas_IGottaFeeling,cymbal,S13,BlackEyedPeas_IGottaFeeling_STEM_13.wav
BlackEyedPeas_IGottaFeeling,"['male singer', 'female singer']",S14,BlackEyedPeas_IGottaFeeling_STEM_14.wav
BlackEyedPeas_IGottaFeeling,cello section,S15,BlackEyedPeas_IGottaFeeling_STEM_15.wav
BlackSabbath_WarPigs,drum set,S01,BlackSabbath_WarPigs_STEM_01.wav
BlackSabbath_WarPigs,distorted electric guitar,S02,BlackSabbath_WarPigs_STEM_02.wav
BlackSabbath_WarPigs,electric bass,S03,BlackSabbath_WarPigs_STEM_03.wav
BlackSabbath_WarPigs,Unlabeled,S04,BlackSabbath_WarPigs_STEM_04.wav
BlackSabbath_WarPigs,male singer,S05,BlackSabbath_WarPigs_STEM_05.wav
Blink182_AllTheSmallThings,drum set,S01,Blink182_AllTheSmallThings_STEM_01.wav
Blink182_AllTheSmallThings,electric bass,S02,Blink182_AllTheSmallThings_STEM_02.wav
Blink182_AllTheSmallThings,distorted electric guitar,S03,Blink182_AllTheSmallThings_STEM_03.wav
Blink182_AllTheSmallThings,"['male singer', 'vocalists']",S04,Blink182_AllTheSmallThings_STEM_04.wav
Blink182_AllTheSmallThings,"['synthesizer', 'high hat', 'male singer', 'vocalists', 'piano', 'clean electric guitar']",S05,Blink182_AllTheSmallThings_STEM_05.wav
Blondie_OneWayOrAnother,vocalists,S01,Blondie_OneWayOrAnother_STEM_01.wav
Blondie_OneWayOrAnother,"['female singer', 'vocalists']",S02,Blondie_OneWayOrAnother_STEM_02.wav
Blondie_OneWayOrAnother,distorted electric guitar,S03,Blondie_OneWayOrAnother_STEM_03.wav
Blondie_OneWayOrAnother,electric bass,S04,Blondie_OneWayOrAnother_STEM_04.wav
Blondie_OneWayOrAnother,drum set,S05,Blondie_OneWayOrAnother_STEM_05.wav
Blondie_OneWayOrAnother,"['synthesizer', 'distorted electric guitar']",S06,Blondie_OneWayOrAnother_STEM_06.wav
BlueOysterCult_DontFearTheReaper,drum set,S01,BlueOysterCult_DontFearTheReaper_STEM_01.wav
BlueOysterCult_DontFearTheReaper,electric bass,S02,BlueOysterCult_DontFearTheReaper_STEM_02.wav
BlueOysterCult_DontFearTheReaper,clean electric guitar,S03,BlueOysterCult_DontFearTheReaper_STEM_03.wav
BlueOysterCult_DontFearTheReaper,male singer,S04,BlueOysterCult_DontFearTheReaper_STEM_04.wav
BlueOysterCult_DontFearTheReaper,"['auxiliary percussion', 'electronic organ', 'male singer', 'vocalists', 'clean electric guitar', 'synthesizer']",S05,BlueOysterCult_DontFearTheReaper_STEM_05.wav
BobSeger_OldTimeRockAndRoll,drum set,S01,BobSeger_OldTimeRockAndRoll_STEM_01.wav
BobSeger_OldTimeRockAndRoll,distorted electric guitar,S02,BobSeger_OldTimeRockAndRoll_STEM_02.wav
BobSeger_OldTimeRockAndRoll,electric bass,S03,BobSeger_OldTimeRockAndRoll_STEM_03.wav
BobSeger_OldTimeRockAndRoll,"['male singer', 'vocalists']",S04,BobSeger_OldTimeRockAndRoll_STEM_04.wav
BobSeger_OldTimeRockAndRoll,piano,S05,BobSeger_OldTimeRockAndRoll_STEM_05.wav
Boston_MoreThanAFeeling,drum set,S01,Boston_MoreThanAFeeling_STEM_01.wav
Boston_MoreThanAFeeling,acoustic guitar,S02,Boston_MoreThanAFeeling_STEM_02.wav
Boston_MoreThanAFeeling,electric bass,S03,Boston_MoreThanAFeeling_STEM_03.wav
Boston_MoreThanAFeeling,Unlabeled,S04,Boston_MoreThanAFeeling_STEM_04.wav
Boston_MoreThanAFeeling,"['male singer', 'vocalists']",S05,Boston_MoreThanAFeeling_STEM_05.wav
BradPaisley_MudOnTheTires,drum set,S01,BradPaisley_MudOnTheTires_STEM_01.wav
BradPaisley_MudOnTheTires,"['acoustic guitar', 'distorted electric guitar']",S02,BradPaisley_MudOnTheTires_STEM_02.wav
BradPaisley_MudOnTheTires,electric bass,S03,BradPaisley_MudOnTheTires_STEM_03.wav
BradPaisley_MudOnTheTires,Unlabeled,S04,BradPaisley_MudOnTheTires_STEM_04.wav
BradPaisley_MudOnTheTires,male singer,S05,BradPaisley_MudOnTheTires_STEM_05.wav
BrandonWebster_DontHearAThing,male speaker,S01,BrandonWebster_DontHearAThing_STEM_01.wav
BrandonWebster_DontHearAThing,female singer,S02,BrandonWebster_DontHearAThing_STEM_02.wav
BrandonWebster_DontHearAThing,piano,S03,BrandonWebster_DontHearAThing_STEM_03.wav
BrandonWebster_YesSirICanFly,piano,S01,BrandonWebster_YesSirICanFly_STEM_01.wav
BrandonWebster_YesSirICanFly,male singer,S02,BrandonWebster_YesSirICanFly_STEM_02.wav
BrooksDunn_HillbillyDeluxe,drum set,S01,BrooksDunn_HillbillyDeluxe_STEM_01.wav
BrooksDunn_HillbillyDeluxe,clean electric guitar,S02,BrooksDunn_HillbillyDeluxe_STEM_02.wav
BrooksDunn_HillbillyDeluxe,electric bass,S03,BrooksDunn_HillbillyDeluxe_STEM_03.wav
BrooksDunn_HillbillyDeluxe,"['male singer', 'vocalists']",S04,BrooksDunn_HillbillyDeluxe_STEM_04.wav
BrooksDunn_HillbillyDeluxe,Unlabeled,S05,BrooksDunn_HillbillyDeluxe_STEM_05.wav
BrunoMars_Grenade,drum set,S01,BrunoMars_Grenade_STEM_01.wav
BrunoMars_Grenade,electric bass,S02,BrunoMars_Grenade_STEM_02.wav
BrunoMars_Grenade,Unlabeled,S03,BrunoMars_Grenade_STEM_03.wav
BrunoMars_Grenade,Unlabeled,S04,BrunoMars_Grenade_STEM_04.wav
BrunoMars_Grenade,electric piano,S05,BrunoMars_Grenade_STEM_05.wav
BrunoMars_Grenade,distorted electric guitar,S06,BrunoMars_Grenade_STEM_06.wav
BrunoMars_Grenade,"['male singer', 'vocalists']",S07,BrunoMars_Grenade_STEM_07.wav
BrunoMars_JustTheWayYouAre,drum set,S01,BrunoMars_JustTheWayYouAre_STEM_01.wav
BrunoMars_JustTheWayYouAre,piano,S02,BrunoMars_JustTheWayYouAre_STEM_02.wav
BrunoMars_JustTheWayYouAre,electric bass,S03,BrunoMars_JustTheWayYouAre_STEM_03.wav
BrunoMars_JustTheWayYouAre,"['male singer', 'vocalists']",S04,BrunoMars_JustTheWayYouAre_STEM_04.wav
BrunoMars_JustTheWayYouAre,synthesizer,S05,BrunoMars_JustTheWayYouAre_STEM_05.wav
BrunoMars_JustTheWayYouAre,Unlabeled,S06,BrunoMars_JustTheWayYouAre_STEM_06.wav
BrunoMars_MarryYou,drum set,S01,BrunoMars_MarryYou_STEM_01.wav
BrunoMars_MarryYou,clean electric guitar,S02,BrunoMars_MarryYou_STEM_02.wav
BrunoMars_MarryYou,electric bass,S03,BrunoMars_MarryYou_STEM_03.wav
BrunoMars_MarryYou,fx/processed sound,S04,BrunoMars_MarryYou_STEM_04.wav
