title,artist,instruments
Soldier Man,Dahka Band,"double bass, male singer, drum set, clean electric guitar, tenor saxophone"
Prisoner's Cinema,Dead Milkmen,"male singer, drum set, electric bass, clean electric guitar, glockenspiel, electronic organ, tambourine, vocalists, acoustic guitar, fx/processed sound, distorted electric guitar, castanet, shaker"
Lenfant prodigue,NYU,"male singer, piano"
Mendelssohn Piano Trio 1 Movement 1,Declare A String,"cello, Main System, piano, violin"
Mendelssohn Piano Trio 1 Movement 2,Declare a String,"Main System, cello, piano, violin"
Heavy Love,Dreamers of the Ghetto,"male singer, drum set, electric bass, kick drum, synthesizer, toms, female singer, vocalists, tambourine, cymbal, fx/processed sound, auxiliary percussion, shaker"
1930s Synth and Upright Bass,Ethan Hein,"double bass, fx/processed sound, synthesizer, drum machine"
Blues For Nofi,Ethan Hein,"drum set, electric bass"
Girl On A Bridge,Ethan Hein,"distorted electric guitar, piano, synthesizer, string section, auxiliary percussion"
Harmonica Figure,Ethan Hein,"harmonica, synthesizer, drum machine"
Waiting for GA,Faces on Film,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, toms, female singer, vocalists, vibraphone, acoustic guitar, cymbal, cabasa, distorted electric guitar, auxiliary percussion"
Improvisation 1,Falling Sparks,"double bass, clarinet, auxiliary percussion, Main System"
Improvisation 2,Falling Sparks,"double bass, clarinet, auxiliary percussion, Main System"
Improvisation 3,Falling Sparks,"double bass, clarinet, auxiliary percussion, Main System"
Pak Klong Talad,Falling Sparks,"double bass, clarinet, auxiliary percussion, Main System"
Again,Family Band,"male singer, drum set, electric bass, clean electric guitar, shaker, kick drum, lap steel guitar, female singer, vocalists, tambourine, acoustic guitar, melodica, distorted electric guitar, auxiliary percussion, snare drum"
Dear Tessie,Fennel Cartwright,"flute, clarinet, french horn, Main System, oboe, bassoon"
Flower Drum Song,Fennel Cartwright,"clarinet, flute, french horn, oboe, bassoon"
Winter Lake,Fennel Cartwright,"clarinet, flute, french horn, Main System, oboe, bassoon"
I'd Like To Know,Filthy Bird,"drum set, electric bass, female singer, tambourine, acoustic guitar, distorted electric guitar"
Rhiannon,Fleetwood Mac,"drum set, electric bass, clean electric guitar, kick drum, synthesizer, toms, female singer, vocalists, snare drum"
Business Time,Flight of the Concords,"double bass, male singer, drum set, kick drum, male speaker, high hat, acoustic guitar, Unlabeled, snare drum"
All My Life,Foo Fighters,"male singer, drum set, electric bass, kick drum, cymbal, distorted electric guitar, Unlabeled, snare drum"
Keep Me Runnin,Fruit Cathedral,"drum set, electric bass, vocalists, acoustic guitar, distorted electric guitar, shaker"
Punch Drunk,Grants,"sampler, electric bass, piano, kick drum, vocalists, high hat, drum machine, fx/processed sound, male rapper, snare drum"
Tornami a Vagheggiar,NYU,"female singer, piano"
Mitad del Mundo,Helado Negro,"male singer, synthesizer, tambourine, tack piano, vibraphone, drum machine, fx/processed sound, snare drum"
Borrowed Heart,Hezekiah Jones,"male singer, violin section, drum set, electric bass, kick drum, lap steel guitar, female singer, vocalists, vibraphone, acoustic guitar, cymbal, banjo, auxiliary percussion, snare drum"
Sister Cities,Hop Along,"drum set, electric bass, kick drum, female singer, toms, synthesizer, vocalists, vibraphone, acoustic guitar, distorted electric guitar, snare drum"
Chicken Fried Steak,Hops 'n Vinyl,"double bass, drum set, kick drum, Main System, vibraphone, tenor saxophone"
Honey Brown,Hops ’n Vinyl,"double bass, drum set, Main System, vibraphone, tenor saxophone"
Reign Check,Hops ’n Vinyl,"double bass, drum set, Main System, vibraphone, tenor saxophone"
Widows Walk,Hops ’n Vinyl,"double bass, drum set, soprano saxophone, Main System, vibraphone"
Drive,Incubus,"male singer, drum set, electric bass, kick drum, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
Disturbing Wildlife,Invisible Familiars,"trumpet, male singer, drum set, electric bass, clean electric guitar, shaker, kick drum, female singer, toms, vocalists, claps, tack piano, trumpet section, snare drum"
Need You Tonight,INXS,"male singer, drum set, clean electric guitar, Unlabeled, kick drum, synthesizer, vocalists, auxiliary percussion, snare drum"
Definition,Joel Helander,"trumpet, flute, piano, violin, trombone, horn section, french horn, chimes, viola, cello, bassoon, string section, snare drum"
Excessive Resistance to Change,Joel Helander,"double bass, clarinet, violin section, drum set, piano, violin, kick drum, french horn, horn section, toms, tack piano, acoustic guitar, bassoon, auxiliary percussion, snare drum"
In the Attic Bedroom (Suite Part Three),Joel Helander,"viola, cello, Main System, violin"
Ruby,Kaiser Chiefs,"male singer, drum set, electric bass, kick drum, vocalists, cymbal, distorted electric guitar, Unlabeled, snare drum"
Carry On My Wayward Son,Kansas,"crowd, drum set, electric bass, kick drum, vocalists, high hat, distorted electric guitar, Unlabeled, snare drum"
Love Lockdown,Kanye West,"male singer, piano, synthesizer, auxiliary percussion"
Volamos,Karachacha,"double bass, drum set, kick drum, vibraphone, acoustic guitar, auxiliary percussion"
Hopscotch,Karim Douaidy,"electric bass, doumbek, piano, claps, acoustic guitar, oud, darbuka, auxiliary percussion"
Yatora,Karim Douaidy,"electric bass, doumbek, piano, acoustic guitar, oud, darbuka, auxiliary percussion"
Charlie Knox,Katzn,"clarinet, piano, violin, Main System, cello, auxiliary percussion"
I Told You So,Keith Urban,"male singer, drum set, electric bass, kick drum, acoustic guitar, Unlabeled, snare drum"
She Thinks My Tractor's Sexy,Kenny Chesney,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, acoustic guitar, Unlabeled, snare drum"
Sex On Fire,Kings Of Leon,"male singer, drum set, electric bass, kick drum, high hat, distorted electric guitar, Unlabeled, snare drum"
Rock and Roll All Nite,KISS,"male singer, drum set, electric bass, kick drum, toms, tambourine, vocalists, cymbal, distorted electric guitar, snare drum"
My Sharona,Knack,"male singer, drum set, electric bass, kick drum, toms, distorted electric guitar, Unlabeled, snare drum"
Freak On A Leash,KoRn,"male singer, crowd, drum set, electric bass, kick drum, synthesizer, toms, high hat, distorted electric guitar, Unlabeled, snare drum"
Black Horse And The Cherry Tree,KT Tunstall,"drum set, electric bass, kick drum, female singer, vocalists, high hat, acoustic guitar, auxiliary percussion, Unlabeled, snare drum"
Suddenly I See,KT Tunstall,"drum set, electric bass, clean electric guitar, female singer, Unlabeled"
Telephone,Lady Gaga featuring Beyonce,"synthesizer, female singer, vocalists, drum machine, fx/processed sound, harp"
Bad Romance,Lady Gaga,"synthesizer, female singer, vocalists, drum machine, Unlabeled"
Born This Way,Lady Gaga,"sampler, synthesizer, female singer, vocalists, drum machine, string section, Unlabeled"
Requiem,Lamb Of God,"male singer, drum set, electric bass, male screamer, fx/processed sound, distorted electric guitar"
Bulletproof,La Roux,"kick drum, female singer, synthesizer, vocalists, drum machine, Unlabeled"
Are You Gonna Go My Way,Lenny Kravitz,"male singer, crowd, drum set, electric bass, kick drum, toms, cymbal, distorted electric guitar, Unlabeled, snare drum"
The Silver Sea,Lewis And Clarke,"male singer, drum set, electric bass, synthesizer, cello, acoustic guitar, cymbal, string section, electric piano"
Not Fair,Lily Allen,"double bass, clean electric guitar, piano, synthesizer, female singer, drum machine, Unlabeled"
In The End,Linkin Park,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, string section, vocalists, high hat, male rapper, distorted electric guitar, Unlabeled, snare drum"
The Alchemist,Little Tybee,"drum set, electric bass, clean electric guitar, violin, female singer, acoustic guitar, distorted electric guitar, electric piano"
My Own Worst Enemy,Lit,"male singer, crowd, drum set, electric bass, kick drum, cymbal, distorted electric guitar, Unlabeled, snare drum"
I Alone,Live,"male singer, drum set, electric bass, clean electric guitar, vocalists, distorted electric guitar"
Coldwar,Liz Nelson & Jennifer Davies,"acoustic guitar, female singer"
I'm Coming Home,Liz Nelson,female singer
Rainfall,Liz Nelson & Jennifer Davies,"acoustic guitar, female singer, clean electric guitar"
Cadillac Solitario,Loquillo y Los Trogloditas,"male singer, drum set, electric bass, kick drum, toms, high hat, distorted electric guitar, Unlabeled, snare drum"
La Bamba,Los Lobos,"male singer, crowd, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, cymbal, Unlabeled, snare drum"
Toynbee Suite,Lushlife,"clarinet, clean electric guitar, piano, synthesizer, horn section, trumpet, electric bass, glockenspiel, kick drum, brass section, high hat, trumpet section, male rapper, string section, snare drum, toms, claps, fx/processed sound, drum set, scratches, drum machine"
Free Bird,Lynyrd Skynyrd,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, high hat, acoustic guitar, Unlabeled, snare drum"
This Love,Maroon 5,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, Unlabeled, snare drum"
This Ones for the Girls,Martina McBride,"drum set, electric bass, kick drum, female singer, vocalists, high hat, distorted electric guitar, Unlabeled, snare drum"
I Heard It Through The Grapevine,Marvin Gaye,"male singer, electric bass, kick drum, synthesizer, toms, vocalists, high hat, string section, Unlabeled, snare drum"
Whats Going On,Marvin Gaye,"snaps, violin section, male singer, viola section, drum set, piano, electric bass, clean electric guitar, bongo, vocalists, vibraphone, acoustic guitar, cello section, string section, alto saxophone"
An Evening With Oliver,Matthew Entwistle,"double bass, clarinet, flute, violin section, piano, violin, glockenspiel, french horn section, bongo, vocalists, cello, viola, oboe, bassoon, harp"
Dont You Ever,Matthew Entwistle,"double bass, male singer, drum set, piano, brass section, violin section"
Fairer Hopes,Matthew Entwistle,"bass drum, double bass, flute, violin section, piano, clarinet section, french horn, cymbal, gong, cello section, harp, string section"
Impressions of Saturn,Matthew Entwistle,"piano, violin, viola, cello, fx/processed sound"
Lontano,Matthew Entwistle,"female singer, piano"
Return To Venezia,Matthew Entwistle,"viola, piano"
The Arch,Matthew Entwistle,"flute section, trombone section, violin section, viola section, piano, french horn section, synthesizer, bamboo flute, piccolo, cymbal, gong, trumpet section, cello section, fx/processed sound"
The Flaxen Field,Matthew Entwistle,"cello, clarinet, piano, violin"
Livin On The Corner Of Dude And Catastrophe,MC Frontalot,"male singer, drum set, electric bass, kick drum, high hat, male rapper, distorted electric guitar, Unlabeled, snare drum"
Take A Step,Meaxic,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, high hat, cymbal, distorted electric guitar, snare drum"
You Listen,Meaxic,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, high hat, acoustic guitar, distorted electric guitar, snare drum"
Beat It,Michael Jackson,"male singer, crowd, drum set, electric bass, kick drum, synthesizer, vocalists, high hat, distorted electric guitar, Unlabeled, snare drum"
All Good Things,Michael Kropf,"piano, violin"
Hunting Season,Midnight Blue,"male singer, drum set, electric bass, piano, distorted electric guitar"
Stars Are Screaming,Midnight Blue,"male singer, distorted electric guitar, drum set, electric bass"
Whered You Go,Mighty Mighty Bosstones,"male singer, drum set, electric bass, clean electric guitar, kick drum, distorted electric guitar, Unlabeled"
Quicksilver,Mike Oldfield,"clean electric guitar, synthesizer, piano, drum machine"
7 Things,Miley Cyrus,"drum set, electric bass, kick drum, female singer, toms, vocalists, high hat, acoustic guitar, distorted electric guitar, Unlabeled, snare drum"
Headphones On,Miranda Cosgrove,"drum set, electric bass, kick drum, female singer, cymbal, distorted electric guitar, Unlabeled, snare drum"
Astro Zombies,Misfits,"male singer, drum set, electric bass, kick drum, vocalists, cymbal, distorted electric guitar, snare drum"
Float On,Modest Mouse,"male singer, crowd, drum set, electric bass, clean electric guitar, kick drum, vocalists, cymbal, Unlabeled, snare drum"
Bester Jungling,NYU,"female singer, piano"
Dies Bildnis,NYU,"male singer, piano"
Kids in America,Muffs,"crowd, drum set, electric bass, kick drum, female singer, high hat, distorted electric guitar, Unlabeled, snare drum"
Hysteria,Muse,"male singer, drum set, kick drum, synthesizer, distorted electric guitar, Unlabeled, snare drum"
80s Rock,Music Delta Multitracks,"male singer, distorted electric guitar, drum set, electric bass"
Beatles,Music Delta Multitracks,"male singer, drum set, electric bass, clean electric guitar, female singer, acoustic guitar"
Bebop Jazz,Music Delta,"double bass, trumpet, drum set, piano, tenor saxophone"
Beethoven,Music Delta Multitracks,"double bass, trumpet, flute, clarinet, bassoon, french horn, timpani, viola, cello, oboe, violin section"
Britpop,Music Delta Multitracks,"drum set, electric bass, clean electric guitar, female singer, acoustic guitar, distorted electric guitar"
Chinese Chao Zhou,Music Delta,"yangqin, erhu, guzheng, dizi"
Chinese Drama,Music Delta,"yangqin, dizi, zhongruan, guzheng, erhu"
Chinese Henan Style,Music Delta,"yangqin, dizi, guzheng, erhu, liuqin"
Chinese Jiang Nan,Music Delta,"yangqin, dizi, zhongruan, guzheng, erhu"
Chinese Xin Jing,Music Delta,"yangqin, zhongruan, gu, erhu, liuqin"
Chinese Yao Zu,Music Delta,"yangqin, dizi, guzheng, erhu, auxiliary percussion"
Cool Jazz,Music Delta,"double bass, trumpet, drum set, piano, baritone saxophone"
Country 1,Music Delta Multitracks,"male singer, drum set, electric bass, acoustic guitar"
Country 2,Music Delta Multitracks,"drum set, electric bass, clean electric guitar, female singer"
Disco,Music Delta Multitracks,"male singer, drum set, electric bass, clean electric guitar"
Free Jazz,Music Delta,"double bass, drum set, bass clarinet"
Funk Jazz,Music Delta,"alto saxophone, drum set, electric bass, electric piano"
Fusion Jazz,Music Delta,"trumpet, drum set, electric bass, soprano saxophone, synthesizer, electric piano"
Gospel,Music Delta Multitracks,"drum set, electric bass, clean electric guitar, female singer, claps"
Grieg Trolltog,Music Delta Multitracks,"double bass, flute section, viola section, clarinet section, tuba, timpani, piccolo, cello, brass section, cymbal, oboe, trumpet section, violin section"
Grunge,Music Delta Multitracks,"male singer, distorted electric guitar, drum set, electric bass"
Hendrix,Music Delta Multitracks,"male singer, distorted electric guitar, drum set, electric bass"
In the Hall of the Mountain King,Music Delta Multitracks,"double bass, flute, clarinet, trombone, french horn section, bassoon, tuba, timpani, toms, piccolo, cello, viola, cymbal, oboe, trumpet section, violin section"
Latin Jazz,Music Delta,"trumpet, flute, drum set, electric bass, electric piano"
Modal Jazz,Music Delta,"double bass, trumpet, drum set, piano, tenor saxophone"
Pachelbel Canon,Music Delta,"viola, cello, violin"
Punk,Music Delta Multitracks,"male singer, distorted electric guitar, drum set, electric bass"
Reggae,Music Delta Multitracks,"male singer, drum set, electric bass, clean electric guitar"
Rockabilly,Music Delta Multitracks,"drum set, electric bass, clean electric guitar, female singer, distorted electric guitar"
Rock,Music Delta Multitracks,"male singer, drum set, electric bass, clean electric guitar"
Shadows,Music Delta,"drum set, electric bass, clean electric guitar"
Speed Metal,Music Delta,"distorted electric guitar, drum set, electric bass"
Swing Jazz,Music Delta,"double bass, clarinet, drum set, piano"
Vivaldi,Music Delta,"double bass, cello, violin section, viola section"
Zeppelin,Music Delta,"distorted electric guitar, drum set, electric bass"
Not For Nothing,Mutual Benefit,"male singer, drum set, electric bass, piano, violin, acoustic guitar, violin section"
Fire,Night Panther,"male singer, synthesizer, cymbal, electric bass, kick drum, brass section, high hat, cornet, violin section, string section, auxiliary percussion, snare drum, toms, vocalists, tambourine, fx/processed sound, drum set, female singer, cello, drum machine"
Save Me,Pattern Is Movement,"drum set, male singer, electronic organ"
You Always Look For Someone Lost,Peter Matthew Bauer,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, chimes, tambourine, vocalists, acoustic guitar, auxiliary percussion"
The Broken Pledge - Chicago Reel,Phoenix,"flute, acoustic guitar, violin"
The Collier's Daughter,Phoenix,"flute, electric bass, violin, Main System, acoustic guitar"
Elzic's Farewell,Phoenix,"violin, Main System, acoustic guitar, mandolin"
Lark On The Strand - Drummond Castle,Phoenix,"Main System, flute, acoustic guitar, violin"
Lark On The Strand - Drummond Castle,Phoenix,"Main System, flute, acoustic guitar, violin"
Sean Caughlin's - The Scartaglen,Phoenix,"electric bass, violin, Main System, acoustic guitar, mandolin"
Good Shout,Plasma,"distorted electric guitar, drum set, electric bass, clean electric guitar"
Brahms,Police Hearing Department,"viola, piano, Main System"
Schumann Movement 1,Police Hearing Department,"flute, piano, violin, Main System, viola, bassoon"
Schumann Movement 2,Police Hearing Department,"flute, piano, violin, Main System, viola, bassoon"
Vivaldi Movement 1,Police Hearing Department,"bassoon, flute, violin, Main System"
Vivaldi Movement 2,Police Hearing Department,"bassoon, flute, violin, Main System"
Vivaldi Movement 3,Police Hearing Department,"bassoon, flute, violin, Main System"
Stay Even,Port St Willow,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, toms, vocalists, high hat, tack piano, cymbal, fx/processed sound, distorted electric guitar, snare drum"
Lolita,Purling Hiss,"male singer, drum set, electric bass, clean electric guitar, kick drum, tambourine, vocalists, distorted electric guitar, snare drum"
Circuits,Quantum Chromos,"bass drum, double bass, clarinet, male singer, piano, violin, Main System"
Ballad for Laura,Rodrigo Bonelli,"trumpet, double bass, drum set, bass clarinet, trombone, piano, kick drum, tenor saxophone, snare drum"
Boom Boxing,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Holy Clams Batman,Sasquatch Connection,"double bass, trombone section, drum set, piano, clean electric guitar, trumpet section, tenor saxophone"
Illuminati,Sasquatch Connection,"double bass, trombone section, drum set, piano, kick drum, horn section, trumpet section, cymbal"
Struttin,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Thanks a Latte,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Erstarrung,NYU,"male singer, piano"
Mignon (Kennst du das Land) Op.92a Mvt.1,NYU,"female singer, piano"
High Horse,Secret Mountains,"drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, synthesizer, vocalists, tambourine, cymbal, fx/processed sound, snare drum"
First Snow,Slow Ghost,"drum set, electric bass, electric piano"
Midnight Groove,Slow Ghost,"drum set, electric bass, electric piano"
Peanut,Slow Ghost,"drum set, electric bass, electric piano"
You’re a Mystery,Slow Ghost,"drum set, electric bass, electric piano"
Curfews,Snowmine,"male singer, drum set, electric bass, snare drum, sampler, clean electric guitar, kick drum, synthesizer, toms, tambourine, vocalists, tack piano, vibraphone, fx/processed sound, auxiliary percussion, shaker"
Two Moons,Song Yi Jeon,"female singer, piano"
Bounty,Steven Clark,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, female singer, synthesizer, toms, vocalists, snare drum"
