title,artist,instruments
Waltz For My Victims,Clara Berry and Wooldog,"drum set, electric bass, piano, glockenspiel, kick drum, female singer"
Oil,Croque Madame,"double bass, drum set, clean electric guitar, piano, kick drum, toms, high hat, cymbal, snare drum"
Pilot (Lakelot),Croque Madame,"double bass, drum set, clean electric guitar, piano, kick drum, toms, high hat, cymbal, snare drum"
Lenfant prodigue,NYU,"male singer, piano"
Mendelssohn Piano Trio 1 Movement 1,Declare A String,"cello, Main System, piano, violin"
Mendelssohn Piano Trio 1 Movement 2,Declare a String,"Main System, cello, piano, violin"
Girl On A Bridge,Ethan Hein,"distorted electric guitar, piano, synthesizer, string section, auxiliary percussion"
Punch Drunk,Grants,"sampler, electric bass, piano, kick drum, vocalists, high hat, drum machine, fx/processed sound, male rapper, snare drum"
Tornami a Vagheggiar,NYU,"female singer, piano"
Mitad del Mundo,Helado Negro,"male singer, synthesizer, tambourine, tack piano, vibraphone, drum machine, fx/processed sound, snare drum"
Disturbing Wildlife,Invisible Familiars,"trumpet, male singer, drum set, electric bass, clean electric guitar, shaker, kick drum, female singer, toms, vocalists, claps, tack piano, trumpet section, snare drum"
Definition,Joel Helander,"trumpet, flute, piano, violin, trombone, horn section, french horn, chimes, viola, cello, bassoon, string section, snare drum"
Excessive Resistance to Change,Joel Helander,"double bass, clarinet, violin section, drum set, piano, violin, kick drum, french horn, horn section, toms, tack piano, acoustic guitar, bassoon, auxiliary percussion, snare drum"
Love Lockdown,Kanye West,"male singer, piano, synthesizer, auxiliary percussion"
Hopscotch,Karim Douaidy,"electric bass, doumbek, piano, claps, acoustic guitar, oud, darbuka, auxiliary percussion"
Yatora,Karim Douaidy,"electric bass, doumbek, piano, acoustic guitar, oud, darbuka, auxiliary percussion"
Charlie Knox,Katzn,"clarinet, piano, violin, Main System, cello, auxiliary percussion"
The Silver Sea,Lewis And Clarke,"male singer, drum set, electric bass, synthesizer, cello, acoustic guitar, cymbal, string section, electric piano"
Not Fair,Lily Allen,"double bass, clean electric guitar, piano, synthesizer, female singer, drum machine, Unlabeled"
In The End,Linkin Park,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, string section, vocalists, high hat, male rapper, distorted electric guitar, Unlabeled, snare drum"
The Alchemist,Little Tybee,"drum set, electric bass, clean electric guitar, violin, female singer, acoustic guitar, distorted electric guitar, electric piano"
Toynbee Suite,Lushlife,"clarinet, clean electric guitar, piano, synthesizer, horn section, trumpet, electric bass, glockenspiel, kick drum, brass section, high hat, trumpet section, male rapper, string section, snare drum, toms, claps, fx/processed sound, drum set, scratches, drum machine"
Whats Going On,Marvin Gaye,"snaps, violin section, male singer, viola section, drum set, piano, electric bass, clean electric guitar, bongo, vocalists, vibraphone, acoustic guitar, cello section, string section, alto saxophone"
An Evening With Oliver,Matthew Entwistle,"double bass, clarinet, flute, violin section, piano, violin, glockenspiel, french horn section, bongo, vocalists, cello, viola, oboe, bassoon, harp"
Dont You Ever,Matthew Entwistle,"double bass, male singer, drum set, piano, brass section, violin section"
Fairer Hopes,Matthew Entwistle,"bass drum, double bass, flute, violin section, piano, clarinet section, french horn, cymbal, gong, cello section, harp, string section"
Impressions of Saturn,Matthew Entwistle,"piano, violin, viola, cello, fx/processed sound"
Lontano,Matthew Entwistle,"female singer, piano"
Return To Venezia,Matthew Entwistle,"viola, piano"
The Arch,Matthew Entwistle,"flute section, trombone section, violin section, viola section, piano, french horn section, synthesizer, bamboo flute, piccolo, cymbal, gong, trumpet section, cello section, fx/processed sound"
The Flaxen Field,Matthew Entwistle,"cello, clarinet, piano, violin"
All Good Things,Michael Kropf,"piano, violin"
Hunting Season,Midnight Blue,"male singer, drum set, electric bass, piano, distorted electric guitar"
Quicksilver,Mike Oldfield,"clean electric guitar, synthesizer, piano, drum machine"
Bester Jungling,NYU,"female singer, piano"
Dies Bildnis,NYU,"male singer, piano"
Bebop Jazz,Music Delta,"double bass, trumpet, drum set, piano, tenor saxophone"
Cool Jazz,Music Delta,"double bass, trumpet, drum set, piano, baritone saxophone"
Funk Jazz,Music Delta,"alto saxophone, drum set, electric bass, electric piano"
Fusion Jazz,Music Delta,"trumpet, drum set, electric bass, soprano saxophone, synthesizer, electric piano"
Latin Jazz,Music Delta,"trumpet, flute, drum set, electric bass, electric piano"
Modal Jazz,Music Delta,"double bass, trumpet, drum set, piano, tenor saxophone"
Swing Jazz,Music Delta,"double bass, clarinet, drum set, piano"
Not For Nothing,Mutual Benefit,"male singer, drum set, electric bass, piano, violin, acoustic guitar, violin section"
You Always Look For Someone Lost,Peter Matthew Bauer,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, chimes, tambourine, vocalists, acoustic guitar, auxiliary percussion"
Brahms,Police Hearing Department,"viola, piano, Main System"
Schumann Movement 1,Police Hearing Department,"flute, piano, violin, Main System, viola, bassoon"
Schumann Movement 2,Police Hearing Department,"flute, piano, violin, Main System, viola, bassoon"
Stay Even,Port St Willow,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, toms, vocalists, high hat, tack piano, cymbal, fx/processed sound, distorted electric guitar, snare drum"
Circuits,Quantum Chromos,"bass drum, double bass, clarinet, male singer, piano, violin, Main System"
Ballad for Laura,Rodrigo Bonelli,"trumpet, double bass, drum set, bass clarinet, trombone, piano, kick drum, tenor saxophone, snare drum"
Boom Boxing,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Holy Clams Batman,Sasquatch Connection,"double bass, trombone section, drum set, piano, clean electric guitar, trumpet section, tenor saxophone"
Illuminati,Sasquatch Connection,"double bass, trombone section, drum set, piano, kick drum, horn section, trumpet section, cymbal"
Struttin,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Thanks a Latte,Sasquatch Connection,"double bass, trombone section, drum set, clean electric guitar, piano, trumpet section, tenor saxophone"
Erstarrung,NYU,"male singer, piano"
Mignon (Kennst du das Land) Op.92a Mvt.1,NYU,"female singer, piano"
High Horse,Secret Mountains,"drum set, electric bass, clean electric guitar, piano, kick drum, female singer, toms, synthesizer, vocalists, tambourine, cymbal, fx/processed sound, snare drum"
First Snow,Slow Ghost,"drum set, electric bass, electric piano"
Midnight Groove,Slow Ghost,"drum set, electric bass, electric piano"
Peanut,Slow Ghost,"drum set, electric bass, electric piano"
You’re a Mystery,Slow Ghost,"drum set, electric bass, electric piano"
Curfews,Snowmine,"male singer, drum set, electric bass, snare drum, sampler, clean electric guitar, kick drum, synthesizer, toms, tambourine, vocalists, tack piano, vibraphone, fx/processed sound, auxiliary percussion, shaker"
Two Moons,Song Yi Jeon,"female singer, piano"
Bounty,Steven Clark,"male singer, drum set, electric bass, clean electric guitar, piano, kick drum, female singer, synthesizer, toms, vocalists, snare drum"
Spacestation,Strand of Oaks,"male singer, drum set, electric bass, shaker, piano, kick drum, female singer, toms, synthesizer, vocalists, tambourine, tack piano, auxiliary percussion, snare drum"
Almost Always,SWEAT,"drum set, clean electric guitar, piano, synthesizer, Main System, tenor saxophone"
Anecdoche,SWEAT,"drum set, piano, clean electric guitar, Main System, alto saxophone"
Elegy,SWEAT,"drum set, clean electric guitar, piano, Main System, tenor saxophone"
Mesozoic,SWEAT,"drum set, piano, clean electric guitar, synthesizer, Main System, tenor saxophone"
SN 1572,Sweat,"drum set, electric bass, kick drum, toms, Main System, high hat, cymbal, distorted electric guitar, electric piano, snare drum"
Tact,SWEAT,"drum set, clean electric guitar, piano, Main System, tenor saxophone"
You Let Me Down,Sweet Lights,"male singer, piano, synthesizer, cymbal, electric bass, kick drum, tack piano, acoustic guitar, auxiliary percussion, shaker, snare drum, timpani, toms, vocalists, claps, tambourine, vibraphone, drum set, drum machine"
Dirty Little Secret,The All American Rejects,"male singer, drum set, electric bass, piano, kick drum, synthesizer, toms, tambourine, vocalists, cymbal, distorted electric guitar, snare drum"
Ramblin Man,The Allman Brothers Band,"drum set, electric bass, clean electric guitar, piano, kick drum, electronic organ, toms, vocalists, tambourine, cymbal, snare drum"
When I'm 64,The Beatles,"male singer, drum set, electric bass, piano, clarinet section, vocalists"
Franck Violin Sonata in A Major Movement 1,The Franck Duo,"violin, piano, Main System"
Franck Violin Sonata in A Major Movement 2,The Franck Duo,"violin, piano, Main System"
Alive,The Kitchenettes,"drum set, electric bass, piano, violin, clean electric guitar, female singer, vocalists, acoustic guitar"
Pictures Of You,The Last Goodnight,"male singer, drum set, electric bass, piano, kick drum, toms, high hat, distorted electric guitar, Unlabeled, snare drum"
Bartender,T-Pain,"male singer, synthesizer, vocalists, drum machine, electric piano"
Il Trovatore,Verdi,"female singer, piano"
Die Bekherte,NYU,"female singer, piano"
