archivo,directorio,track_name,artist,title,uuid,stem_id,instrumento,clase,plugin,programa,filename,raw_details
Grants_PunchDrunk_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Grants,Punch Drunk,N/A,S09,piano,,N/A,N/A,Grants_PunchDrunk_STEM_09.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano
Handel_TornamiAVagheggiar_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Tornami a Vagheggiar,N/A,S02,piano,melody,N/A,N/A,Handel_TornamiAVagheggiar_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
HeladoNegro_MitadDelMundo_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Helado Negro,Mitad del Mundo,N/A,S10,tack piano,,N/A,N/A,HeladoNegro_MitadDelMundo_STEM_10.wav,R01: tack piano; R02: tack piano; R03: tack piano; R04: tack piano; R05: tack piano; R06: synthesizer; R07: synthesizer
InvisibleFamiliars_DisturbingWildlife_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Invisible Familiars,Disturbing Wildlife,N/A,S10,tack piano,melody,N/A,N/A,InvisibleFamiliars_DisturbingWildlife_STEM_10.wav,R01: tack piano
JoelHelander_Definition_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Joel Helander,Definition,N/A,S01,piano,melody,N/A,N/A,JoelHelander_Definition_STEM_01.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Joel Helander,Excessive Resistance to Change,N/A,S01,tack piano,melody,N/A,N/A,JoelHelander_ExcessiveResistancetoChange_STEM_01.wav,R01: piano; R02: piano; R03: piano; R04: tack piano; R05: tack piano; R06: tack piano; R07: tack piano; R08: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Joel Helander,Excessive Resistance to Change,N/A,S02,tack piano,,N/A,N/A,JoelHelander_ExcessiveResistancetoChange_STEM_02.wav,R01: tack piano; R02: tack piano; R03: tack piano; R04: tack piano; R05: tack piano; R06: tack piano; R07: tack piano; R08: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Joel Helander,Excessive Resistance to Change,N/A,S03,piano,melody,N/A,N/A,JoelHelander_ExcessiveResistancetoChange_STEM_03.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Joel Helander,Excessive Resistance to Change,N/A,S04,tack piano,melody,N/A,N/A,JoelHelander_ExcessiveResistancetoChange_STEM_04.wav,R01: tack piano; R02: tack piano; R03: tack piano
KanyeWest_LoveLockdown_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Kanye West,Love Lockdown,N/A,S05,piano,,N/A,N/A,KanyeWest_LoveLockdown_STEM_05.wav,R01: piano; R02: piano
KarimDouaidy_Hopscotch_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Karim Douaidy,Hopscotch,N/A,S09,piano,melody,N/A,N/A,KarimDouaidy_Hopscotch_STEM_09.wav,R01: piano; R02: piano
KarimDouaidy_Yatora_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Karim Douaidy,Yatora,N/A,S05,piano,melody,N/A,N/A,KarimDouaidy_Yatora_STEM_05.wav,R01: piano; R02: piano
Katzn_CharlieKnox_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Katzn,Charlie Knox,N/A,S02,piano,melody,N/A,N/A,Katzn_CharlieKnox_STEM_02.wav,R01: piano; R02: piano
LewisAndClarke_TheSilverSea_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Lewis And Clarke,The Silver Sea,N/A,S09,electric piano,melody,N/A,N/A,LewisAndClarke_TheSilverSea_STEM_09.wav,R01: electric piano; R02: electric piano; R03: electric piano; R04: electric piano; R05: electric piano; R06: electric piano
LilyAllen_NotFair_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Lily Allen,Not Fair,N/A,S09,piano,,N/A,N/A,LilyAllen_NotFair_STEM_09.wav,R01: piano; R02: piano
LinkinPark_InTheEnd_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Linkin Park,In The End,N/A,S05,"piano, string section",melody,N/A,N/A,LinkinPark_InTheEnd_STEM_05.wav,"R01: piano, string section; R02: piano, string section"
LittleTybee_TheAlchemist_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Little Tybee,The Alchemist,N/A,S09,electric piano,melody,N/A,N/A,LittleTybee_TheAlchemist_STEM_09.wav,R01: electric piano; R02: electric piano; R03: electric piano
Lushlife_ToynbeeSuite_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Lushlife,Toynbee Suite,N/A,S23,piano,,N/A,N/A,Lushlife_ToynbeeSuite_STEM_23.wav,R01: piano
MarvinGaye_WhatsGoingOn_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Marvin Gaye,Whats Going On,N/A,S02,piano,,N/A,N/A,MarvinGaye_WhatsGoingOn_STEM_02.wav,R01: piano
MatthewEntwistle_AnEveningWithOliver_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,An Evening With Oliver,N/A,S11,piano,,N/A,N/A,MatthewEntwistle_AnEveningWithOliver_STEM_11.wav,R01: piano
MatthewEntwistle_DontYouEver_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,Dont You Ever,N/A,S02,piano,melody,N/A,N/A,MatthewEntwistle_DontYouEver_STEM_02.wav,R01: piano
MatthewEntwistle_FairerHopes_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,Fairer Hopes,N/A,S13,piano,,N/A,N/A,MatthewEntwistle_FairerHopes_STEM_13.wav,R01: piano; R02: piano
MatthewEntwistle_ImpressionsOfSaturn_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,Impressions of Saturn,N/A,S06,piano,,N/A,N/A,MatthewEntwistle_ImpressionsOfSaturn_STEM_06.wav,R01: piano; R02: piano
MatthewEntwistle_Lontano_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,Lontano,N/A,S01,piano,,N/A,N/A,MatthewEntwistle_Lontano_STEM_01.wav,R01: piano; R02: piano
MatthewEntwistle_ReturnToVenezia_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,Return To Venezia,N/A,S02,piano,melody,N/A,N/A,MatthewEntwistle_ReturnToVenezia_STEM_02.wav,R01: piano; R02: piano
MatthewEntwistle_TheArch_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,The Arch,N/A,S18,piano,melody,N/A,N/A,MatthewEntwistle_TheArch_STEM_18.wav,R01: piano
MatthewEntwistle_TheFlaxenField_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Matthew Entwistle,The Flaxen Field,N/A,S03,piano,melody,N/A,N/A,MatthewEntwistle_TheFlaxenField_STEM_03.wav,R01: piano; R02: piano
MichaelKropf_AllGoodThings_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Michael Kropf,All Good Things,N/A,S01,piano,melody,N/A,N/A,MichaelKropf_AllGoodThings_STEM_01.wav,R01: piano; R02: piano
MidnightBlue_HuntingSeason_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Midnight Blue,Hunting Season,N/A,S08,piano,melody,N/A,N/A,MidnightBlue_HuntingSeason_STEM_08.wav,R01: piano; R02: piano
MikeOldfield_Quicksilver_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Mike Oldfield,Quicksilver,N/A,S01,piano,melody,N/A,N/A,MikeOldfield_Quicksilver_STEM_01.wav,R01: piano; R02: piano
Mozart_BesterJungling_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Bester Jungling,N/A,S02,piano,melody,N/A,N/A,Mozart_BesterJungling_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
Mozart_DiesBildnis_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Dies Bildnis,N/A,S02,piano,melody,N/A,N/A,Mozart_DiesBildnis_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
MusicDelta_BebopJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Bebop Jazz,N/A,S03,piano,,N/A,N/A,MusicDelta_BebopJazz_STEM_03.wav,R01: piano
MusicDelta_CoolJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Cool Jazz,N/A,S03,piano,,N/A,N/A,MusicDelta_CoolJazz_STEM_03.wav,R01: piano
MusicDelta_FunkJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Funk Jazz,N/A,S03,electric piano,melody,N/A,N/A,MusicDelta_FunkJazz_STEM_03.wav,R01: electric piano
MusicDelta_FusionJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Fusion Jazz,N/A,S03,electric piano,,N/A,N/A,MusicDelta_FusionJazz_STEM_03.wav,R01: electric piano
MusicDelta_LatinJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Latin Jazz,N/A,S03,electric piano,,N/A,N/A,MusicDelta_LatinJazz_STEM_03.wav,R01: electric piano
MusicDelta_ModalJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Modal Jazz,N/A,S03,piano,,N/A,N/A,MusicDelta_ModalJazz_STEM_03.wav,R01: piano
MusicDelta_SwingJazz_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Music Delta,Swing Jazz,N/A,S03,piano,melody,N/A,N/A,MusicDelta_SwingJazz_STEM_03.wav,R01: piano
MutualBenefit_NotForNothing_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Mutual Benefit,Not For Nothing,N/A,S10,piano,,N/A,N/A,MutualBenefit_NotForNothing_STEM_10.wav,R01: piano; R02: piano
PeterMatthewBauer_YouAlwaysLookForSomeoneLost_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Peter Matthew Bauer,You Always Look For Someone Lost,N/A,S03,piano,,N/A,N/A,PeterMatthewBauer_YouAlwaysLookForSomeoneLost_STEM_03.wav,R01: piano; R02: piano
PoliceHearingDepartment_Brahms_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Police Hearing Department,Brahms,N/A,S03,piano,melody,N/A,N/A,PoliceHearingDepartment_Brahms_STEM_03.wav,R01: piano; R02: piano
PoliceHearingDepartment_SchumannMovement1_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Police Hearing Department,Schumann Movement 1,N/A,S06,piano,melody,N/A,N/A,PoliceHearingDepartment_SchumannMovement1_STEM_06.wav,R01: piano; R02: piano
PoliceHearingDepartment_SchumannMovement2_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Police Hearing Department,Schumann Movement 2,N/A,S06,piano,melody,N/A,N/A,PoliceHearingDepartment_SchumannMovement2_STEM_06.wav,R01: piano; R02: piano
PortStWillow_StayEven_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Port St Willow,Stay Even,N/A,S09,piano,,N/A,N/A,PortStWillow_StayEven_STEM_09.wav,R01: piano; R02: piano; R03: tack piano; R04: tack piano
QuantumChromos_Circuits_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Quantum Chromos,Circuits,N/A,S03,piano,melody,N/A,N/A,QuantumChromos_Circuits_STEM_03.wav,R01: piano; R02: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Rodrigo Bonelli,Ballad for Laura,N/A,S07,piano,melody,N/A,N/A,RodrigoBonelli_BalladForLaura_STEM_07.wav,R01: piano; R02: piano; R03: piano; R04: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sasquatch Connection,Boom Boxing,N/A,S03,piano,,N/A,N/A,SasquatchConnection_BoomBoxing_STEM_03.wav,R01: piano; R02: piano; R03: piano
SasquatchConnection_HolyClamsBatman_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sasquatch Connection,Holy Clams Batman,N/A,S03,piano,melody,N/A,N/A,SasquatchConnection_HolyClamsBatman_STEM_03.wav,R01: piano; R02: piano
SasquatchConnection_Illuminati_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sasquatch Connection,Illuminati,N/A,S05,piano,melody,N/A,N/A,SasquatchConnection_Illuminati_STEM_05.wav,R01: piano; R02: piano
SasquatchConnection_Struttin_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sasquatch Connection,Struttin,N/A,S02,piano,melody,N/A,N/A,SasquatchConnection_Struttin_STEM_02.wav,R01: piano; R02: piano
SasquatchConnection_ThanksALatte_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sasquatch Connection,Thanks a Latte,N/A,S01,piano,melody,N/A,N/A,SasquatchConnection_ThanksALatte_STEM_01.wav,R01: piano; R02: piano
Schubert_Erstarrung_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Erstarrung,N/A,S02,piano,melody,N/A,N/A,Schubert_Erstarrung_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
Schumann_Mignon_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Mignon (Kennst du das Land) Op.92a Mvt.1,N/A,S01,piano,melody,N/A,N/A,Schumann_Mignon_STEM_01.wav,R01: piano; R02: piano; R03: piano
SecretMountains_HighHorse_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Secret Mountains,High Horse,N/A,S07,piano,,N/A,N/A,SecretMountains_HighHorse_STEM_07.wav,R01: piano; R02: piano; R03: piano; R04: piano
SlowGhost_FirstSnow_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Slow Ghost,First Snow,N/A,S03,electric piano,melody,N/A,N/A,SlowGhost_FirstSnow_STEM_03.wav,R01: electric piano; R02: electric piano
SlowGhost_MidnightGroove_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Slow Ghost,Midnight Groove,N/A,S03,electric piano,melody,N/A,N/A,SlowGhost_MidnightGroove_STEM_03.wav,R01: electric piano; R02: electric piano
SlowGhost_Peanut_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Slow Ghost,Peanut,N/A,S03,electric piano,melody,N/A,N/A,SlowGhost_Peanut_STEM_03.wav,R01: electric piano; R02: electric piano
SlowGhost_YoureAMystery_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Slow Ghost,You’re a Mystery,N/A,S01,electric piano,melody,N/A,N/A,SlowGhost_YoureAMystery_STEM_01.wav,R01: electric piano; R02: electric piano
Snowmine_Curfews_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Snowmine,Curfews,N/A,S11,tack piano,,N/A,N/A,Snowmine_Curfews_STEM_11.wav,R01: tack piano; R02: tack piano; R03: tack piano
SongYiJeon_TwoMoons_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Song Yi Jeon,Two Moons,N/A,S02,piano,melody,N/A,N/A,SongYiJeon_TwoMoons_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
