archivo,linea,contenido
CherryPoppinDaddies_ZootSuitRiot_METADATA.yaml,87,instrument: piano
CherryPoppinDaddies_ZootSuitRiot_METADATA.yaml,90,instrument: piano
ChristinaAguilera_GenieInABottle_METADATA.yaml,72,instrument: piano
ChristinaAguilera_GenieInABottle_METADATA.yaml,76,instrument: piano
ChristinaAguilera_GenieInABottle_METADATA.yaml,79,instrument: piano
ClaraBerryAndWooldog_AirTraffic_METADATA.yaml,59,instrument: piano
ClaraBerryAndWooldog_AirTraffic_METADATA.yaml,63,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,81,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,85,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,88,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,91,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,94,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,97,instrument: piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,134,instrument: tack piano
ClaraBerryAndWooldog_Boys_METADATA.yaml,138,instrument: tack piano
ClaraBerryAndWooldog_Stella_METADATA.yaml,90,instrument: piano
ClaraBerryAndWooldog_Stella_METADATA.yaml,94,instrument: piano
ClaraBerryAndWooldog_Stella_METADATA.yaml,97,instrument: piano
ClaraBerryAndWooldog_TheBadGuys_METADATA.yaml,19,instrument: piano
ClaraBerryAndWooldog_TheBadGuys_METADATA.yaml,23,instrument: piano
ClaraBerryAndWooldog_TheBadGuys_METADATA.yaml,26,instrument: piano
ClaraBerryAndWooldog_WaltzForMyVictims_METADATA.yaml,38,instrument: piano
ClaraBerryAndWooldog_WaltzForMyVictims_METADATA.yaml,42,instrument: piano
CroqueMadame_Oil_METADATA.yaml,19,instrument: piano
CroqueMadame_Oil_METADATA.yaml,23,instrument: piano
CroqueMadame_Oil_METADATA.yaml,26,instrument: piano
CroqueMadame_Pilot_METADATA.yaml,19,instrument: piano
CroqueMadame_Pilot_METADATA.yaml,23,instrument: piano
CroqueMadame_Pilot_METADATA.yaml,26,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,27,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,31,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,34,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,37,instrument: piano
Debussy_LenfantProdigue_METADATA.yaml,40,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,8,mix_filename: DeclareAString_MendelssohnPianoTrio1Movement1_MIX.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,11,raw_dir: DeclareAString_MendelssohnPianoTrio1Movement1_RAW
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,12,stem_dir: DeclareAString_MendelssohnPianoTrio1Movement1_STEMS
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,16,filename: DeclareAString_MendelssohnPianoTrio1Movement1_STEM_01.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,17,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,20,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_01_03.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,21,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,23,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_01_04.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,24,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,27,filename: DeclareAString_MendelssohnPianoTrio1Movement1_STEM_02.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,31,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_02_01.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,35,filename: DeclareAString_MendelssohnPianoTrio1Movement1_STEM_03.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,39,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_03_01.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,42,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_03_02.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,45,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_03_03.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,49,filename: DeclareAString_MendelssohnPianoTrio1Movement1_STEM_04.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,53,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_04_01.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,56,filename: DeclareAString_MendelssohnPianoTrio1Movement1_RAW_04_02.wav
DeclareAString_MendelssohnPianoTrio1Movement1_METADATA.yaml,58,title: Mendelssohn Piano Trio 1 Movement 1
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,8,mix_filename: DeclareAString_MendelssohnPianoTrio1Movement2_MIX.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,11,raw_dir: DeclareAString_MendelssohnPianoTrio1Movement2_RAW
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,12,stem_dir: DeclareAString_MendelssohnPianoTrio1Movement2_STEMS
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,16,filename: DeclareAString_MendelssohnPianoTrio1Movement2_STEM_01.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,20,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_01_01.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,24,filename: DeclareAString_MendelssohnPianoTrio1Movement2_STEM_02.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,28,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_02_01.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,31,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_02_02.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,35,filename: DeclareAString_MendelssohnPianoTrio1Movement2_STEM_03.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,39,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_03_01.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,42,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_03_02.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,45,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_03_03.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,49,filename: DeclareAString_MendelssohnPianoTrio1Movement2_STEM_04.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,50,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,53,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_04_01.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,54,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,56,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_04_02.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,57,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,59,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_04_03.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,60,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,62,filename: DeclareAString_MendelssohnPianoTrio1Movement2_RAW_04_04.wav
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,63,instrument: piano
DeclareAString_MendelssohnPianoTrio1Movement2_METADATA.yaml,64,title: Mendelssohn Piano Trio 1 Movement 2
EthanHein_GirlOnABridge_METADATA.yaml,30,instrument: piano
EthanHein_GirlOnABridge_METADATA.yaml,34,instrument: piano
EthanHein_GirlOnABridge_METADATA.yaml,37,instrument: piano
Grants_PunchDrunk_METADATA.yaml,149,instrument: piano
Grants_PunchDrunk_METADATA.yaml,153,instrument: piano
Grants_PunchDrunk_METADATA.yaml,156,instrument: piano
Grants_PunchDrunk_METADATA.yaml,159,instrument: piano
Grants_PunchDrunk_METADATA.yaml,162,instrument: piano
Grants_PunchDrunk_METADATA.yaml,165,instrument: piano
Grants_PunchDrunk_METADATA.yaml,168,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,27,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,31,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,34,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,37,instrument: piano
Handel_TornamiAVagheggiar_METADATA.yaml,40,instrument: piano
HeladoNegro_MitadDelMundo_METADATA.yaml,127,instrument: tack piano
HeladoNegro_MitadDelMundo_METADATA.yaml,131,instrument: tack piano
HeladoNegro_MitadDelMundo_METADATA.yaml,134,instrument: tack piano
HeladoNegro_MitadDelMundo_METADATA.yaml,137,instrument: tack piano
HeladoNegro_MitadDelMundo_METADATA.yaml,140,instrument: tack piano
HeladoNegro_MitadDelMundo_METADATA.yaml,143,instrument: tack piano
InvisibleFamiliars_DisturbingWildlife_METADATA.yaml,146,instrument: tack piano
InvisibleFamiliars_DisturbingWildlife_METADATA.yaml,150,instrument: tack piano
JoelHelander_Definition_METADATA.yaml,20,instrument: piano
JoelHelander_Definition_METADATA.yaml,24,instrument: piano
JoelHelander_Definition_METADATA.yaml,27,instrument: piano
JoelHelander_Definition_METADATA.yaml,30,instrument: piano
JoelHelander_Definition_METADATA.yaml,33,instrument: piano
JoelHelander_Definition_METADATA.yaml,36,instrument: piano
JoelHelander_Definition_METADATA.yaml,39,instrument: piano
JoelHelander_Definition_METADATA.yaml,42,instrument: piano
JoelHelander_Definition_METADATA.yaml,45,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,20,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,24,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,27,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,30,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,33,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,36,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,39,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,42,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,45,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,49,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,53,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,56,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,59,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,62,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,65,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,68,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,71,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,74,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,78,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,82,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,85,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,88,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,91,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,94,instrument: piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,98,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,102,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,105,instrument: tack piano
JoelHelander_ExcessiveResistancetoChange_METADATA.yaml,108,instrument: tack piano
KanyeWest_LoveLockdown_METADATA.yaml,61,instrument: piano
KanyeWest_LoveLockdown_METADATA.yaml,65,instrument: piano
KanyeWest_LoveLockdown_METADATA.yaml,68,instrument: piano
KarimDouaidy_Hopscotch_METADATA.yaml,98,instrument: piano
KarimDouaidy_Hopscotch_METADATA.yaml,102,instrument: piano
KarimDouaidy_Hopscotch_METADATA.yaml,105,instrument: piano
KarimDouaidy_Yatora_METADATA.yaml,63,instrument: piano
KarimDouaidy_Yatora_METADATA.yaml,67,instrument: piano
KarimDouaidy_Yatora_METADATA.yaml,70,instrument: piano
Katzn_CharlieKnox_METADATA.yaml,40,instrument: piano
Katzn_CharlieKnox_METADATA.yaml,44,instrument: piano
Katzn_CharlieKnox_METADATA.yaml,47,instrument: piano
LewisAndClarke_TheSilverSea_METADATA.yaml,285,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,289,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,292,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,295,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,298,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,301,instrument: electric piano
LewisAndClarke_TheSilverSea_METADATA.yaml,304,instrument: electric piano
LilyAllen_NotFair_METADATA.yaml,111,instrument: piano
LilyAllen_NotFair_METADATA.yaml,115,instrument: piano
LilyAllen_NotFair_METADATA.yaml,118,instrument: piano
LinkinPark_InTheEnd_METADATA.yaml,80,#NAME?
LinkinPark_InTheEnd_METADATA.yaml,86,#NAME?
LinkinPark_InTheEnd_METADATA.yaml,91,#NAME?
LittleTybee_TheAlchemist_METADATA.yaml,147,instrument: electric piano
LittleTybee_TheAlchemist_METADATA.yaml,151,instrument: electric piano
LittleTybee_TheAlchemist_METADATA.yaml,154,instrument: electric piano
LittleTybee_TheAlchemist_METADATA.yaml,157,instrument: electric piano
Lushlife_ToynbeeSuite_METADATA.yaml,283,instrument: piano
Lushlife_ToynbeeSuite_METADATA.yaml,287,instrument: piano
MarvinGaye_WhatsGoingOn_METADATA.yaml,25,instrument: piano
MarvinGaye_WhatsGoingOn_METADATA.yaml,29,instrument: piano
MatthewEntwistle_AnEveningWithOliver_METADATA.yaml,99,instrument: piano
MatthewEntwistle_AnEveningWithOliver_METADATA.yaml,103,instrument: piano
MatthewEntwistle_DontYouEver_METADATA.yaml,27,instrument: piano
MatthewEntwistle_DontYouEver_METADATA.yaml,31,instrument: piano
MatthewEntwistle_FairerHopes_METADATA.yaml,115,instrument: piano
MatthewEntwistle_FairerHopes_METADATA.yaml,119,instrument: piano
MatthewEntwistle_FairerHopes_METADATA.yaml,122,instrument: piano
MatthewEntwistle_ImpressionsOfSaturn_METADATA.yaml,59,instrument: piano
MatthewEntwistle_ImpressionsOfSaturn_METADATA.yaml,63,instrument: piano
MatthewEntwistle_ImpressionsOfSaturn_METADATA.yaml,66,instrument: piano
MatthewEntwistle_Lontano_METADATA.yaml,19,instrument: piano
MatthewEntwistle_Lontano_METADATA.yaml,23,instrument: piano
MatthewEntwistle_Lontano_METADATA.yaml,26,instrument: piano
MatthewEntwistle_ReturnToVenezia_METADATA.yaml,28,instrument: piano
MatthewEntwistle_ReturnToVenezia_METADATA.yaml,32,instrument: piano
MatthewEntwistle_ReturnToVenezia_METADATA.yaml,35,instrument: piano
MatthewEntwistle_TheArch_METADATA.yaml,155,instrument: piano
MatthewEntwistle_TheArch_METADATA.yaml,159,instrument: piano
MatthewEntwistle_TheFlaxenField_METADATA.yaml,35,instrument: piano
MatthewEntwistle_TheFlaxenField_METADATA.yaml,39,instrument: piano
MatthewEntwistle_TheFlaxenField_METADATA.yaml,42,instrument: piano
MichaelKropf_AllGoodThings_METADATA.yaml,19,instrument: piano
MichaelKropf_AllGoodThings_METADATA.yaml,23,instrument: piano
MichaelKropf_AllGoodThings_METADATA.yaml,26,instrument: piano
MidnightBlue_HuntingSeason_METADATA.yaml,112,instrument: piano
MidnightBlue_HuntingSeason_METADATA.yaml,116,instrument: piano
MidnightBlue_HuntingSeason_METADATA.yaml,119,instrument: piano
MikeOldfield_Quicksilver_METADATA.yaml,17,instrument: piano
MikeOldfield_Quicksilver_METADATA.yaml,21,instrument: piano
MikeOldfield_Quicksilver_METADATA.yaml,24,instrument: piano
Mozart_BesterJungling_METADATA.yaml,27,instrument: piano
Mozart_BesterJungling_METADATA.yaml,31,instrument: piano
Mozart_BesterJungling_METADATA.yaml,34,instrument: piano
Mozart_BesterJungling_METADATA.yaml,37,instrument: piano
Mozart_BesterJungling_METADATA.yaml,40,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,27,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,31,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,34,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,37,instrument: piano
Mozart_DiesBildnis_METADATA.yaml,40,instrument: piano
MusicDelta_BebopJazz_METADATA.yaml,35,instrument: piano
MusicDelta_BebopJazz_METADATA.yaml,39,instrument: piano
MusicDelta_CoolJazz_METADATA.yaml,35,instrument: piano
MusicDelta_CoolJazz_METADATA.yaml,39,instrument: piano
MusicDelta_FunkJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_FunkJazz_METADATA.yaml,39,instrument: electric piano
MusicDelta_FusionJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_FusionJazz_METADATA.yaml,39,instrument: electric piano
MusicDelta_LatinJazz_METADATA.yaml,35,instrument: electric piano
MusicDelta_LatinJazz_METADATA.yaml,39,instrument: electric piano
MusicDelta_ModalJazz_METADATA.yaml,35,instrument: piano
MusicDelta_ModalJazz_METADATA.yaml,39,instrument: piano
MusicDelta_SwingJazz_METADATA.yaml,35,instrument: piano
MusicDelta_SwingJazz_METADATA.yaml,39,instrument: piano
MutualBenefit_NotForNothing_METADATA.yaml,179,instrument: piano
MutualBenefit_NotForNothing_METADATA.yaml,183,instrument: piano
MutualBenefit_NotForNothing_METADATA.yaml,186,instrument: piano
PeterMatthewBauer_YouAlwaysLookForSomeoneLost_METADATA.yaml,45,instrument: piano
PeterMatthewBauer_YouAlwaysLookForSomeoneLost_METADATA.yaml,49,instrument: piano
PeterMatthewBauer_YouAlwaysLookForSomeoneLost_METADATA.yaml,52,instrument: piano
PoliceHearingDepartment_Brahms_METADATA.yaml,42,instrument: piano
PoliceHearingDepartment_Brahms_METADATA.yaml,46,instrument: piano
PoliceHearingDepartment_Brahms_METADATA.yaml,49,instrument: piano
PoliceHearingDepartment_SchumannMovement1_METADATA.yaml,75,instrument: piano
PoliceHearingDepartment_SchumannMovement1_METADATA.yaml,79,instrument: piano
PoliceHearingDepartment_SchumannMovement1_METADATA.yaml,82,instrument: piano
PoliceHearingDepartment_SchumannMovement2_METADATA.yaml,75,instrument: piano
PoliceHearingDepartment_SchumannMovement2_METADATA.yaml,79,instrument: piano
PoliceHearingDepartment_SchumannMovement2_METADATA.yaml,82,instrument: piano
PortStWillow_StayEven_METADATA.yaml,161,instrument: piano
PortStWillow_StayEven_METADATA.yaml,165,instrument: piano
PortStWillow_StayEven_METADATA.yaml,168,instrument: piano
PortStWillow_StayEven_METADATA.yaml,171,instrument: tack piano
PortStWillow_StayEven_METADATA.yaml,174,instrument: tack piano
QuantumChromos_Circuits_METADATA.yaml,51,instrument: piano
QuantumChromos_Circuits_METADATA.yaml,55,instrument: piano
QuantumChromos_Circuits_METADATA.yaml,58,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,92,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,96,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,99,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,102,instrument: piano
RodrigoBonelli_BalladForLaura_METADATA.yaml,105,instrument: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,45,instrument: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,49,instrument: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,52,instrument: piano
SasquatchConnection_BoomBoxing_METADATA.yaml,55,instrument: piano
SasquatchConnection_HolyClamsBatman_METADATA.yaml,39,instrument: piano
SasquatchConnection_HolyClamsBatman_METADATA.yaml,43,instrument: piano
SasquatchConnection_HolyClamsBatman_METADATA.yaml,46,instrument: piano
SasquatchConnection_Illuminati_METADATA.yaml,79,instrument: piano
SasquatchConnection_Illuminati_METADATA.yaml,83,instrument: piano
SasquatchConnection_Illuminati_METADATA.yaml,86,instrument: piano
SasquatchConnection_Struttin_METADATA.yaml,28,instrument: piano
SasquatchConnection_Struttin_METADATA.yaml,32,instrument: piano
SasquatchConnection_Struttin_METADATA.yaml,35,instrument: piano
SasquatchConnection_ThanksALatte_METADATA.yaml,17,instrument: piano
SasquatchConnection_ThanksALatte_METADATA.yaml,21,instrument: piano
SasquatchConnection_ThanksALatte_METADATA.yaml,24,instrument: piano
Schubert_Erstarrung_METADATA.yaml,27,instrument: piano
Schubert_Erstarrung_METADATA.yaml,31,instrument: piano
Schubert_Erstarrung_METADATA.yaml,34,instrument: piano
Schubert_Erstarrung_METADATA.yaml,37,instrument: piano
Schubert_Erstarrung_METADATA.yaml,40,instrument: piano
Schumann_Mignon_METADATA.yaml,19,instrument: piano
Schumann_Mignon_METADATA.yaml,23,instrument: piano
Schumann_Mignon_METADATA.yaml,26,instrument: piano
Schumann_Mignon_METADATA.yaml,29,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,109,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,113,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,116,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,119,instrument: piano
SecretMountains_HighHorse_METADATA.yaml,122,instrument: piano
SlowGhost_FirstSnow_METADATA.yaml,54,instrument: electric piano
SlowGhost_FirstSnow_METADATA.yaml,58,instrument: electric piano
SlowGhost_FirstSnow_METADATA.yaml,61,instrument: electric piano
SlowGhost_MidnightGroove_METADATA.yaml,63,instrument: electric piano
SlowGhost_MidnightGroove_METADATA.yaml,67,instrument: electric piano
SlowGhost_MidnightGroove_METADATA.yaml,70,instrument: electric piano
SlowGhost_Peanut_METADATA.yaml,63,instrument: electric piano
SlowGhost_Peanut_METADATA.yaml,67,instrument: electric piano
SlowGhost_Peanut_METADATA.yaml,70,instrument: electric piano
SlowGhost_YoureAMystery_METADATA.yaml,17,instrument: electric piano
SlowGhost_YoureAMystery_METADATA.yaml,21,instrument: electric piano
SlowGhost_YoureAMystery_METADATA.yaml,24,instrument: electric piano
Snowmine_Curfews_METADATA.yaml,228,instrument: tack piano
Snowmine_Curfews_METADATA.yaml,232,instrument: tack piano
Snowmine_Curfews_METADATA.yaml,235,instrument: tack piano
Snowmine_Curfews_METADATA.yaml,238,instrument: tack piano
SongYiJeon_TwoMoons_METADATA.yaml,25,instrument: piano
SongYiJeon_TwoMoons_METADATA.yaml,29,instrument: piano
SongYiJeon_TwoMoons_METADATA.yaml,32,instrument: piano
SongYiJeon_TwoMoons_METADATA.yaml,35,instrument: piano
SongYiJeon_TwoMoons_METADATA.yaml,38,instrument: piano
StevenClark_Bounty_METADATA.yaml,170,instrument: piano
StevenClark_Bounty_METADATA.yaml,174,instrument: piano
StevenClark_Bounty_METADATA.yaml,177,instrument: piano
StrandOfOaks_Spacestation_METADATA.yaml,95,instrument: piano
StrandOfOaks_Spacestation_METADATA.yaml,99,instrument: piano
StrandOfOaks_Spacestation_METADATA.yaml,102,instrument: piano
StrandOfOaks_Spacestation_METADATA.yaml,105,instrument: piano
